symbol,newshares,oldshares,date,
AUTORIDFIN,3,2,1995-12-27,
FMGOETZE,3,2,1996-01-10,
INDIACEM,2,1,1996-01-24,
ATCOM,2,1,1996-01-24,
SUDARSCHEM,3,2,1996-02-14,
KSBPUMPS,2,1,1996-03-01,
BALRAMCHIN,5,2,1996-05-08,
ACC,8,5,1996-06-12,
NAVNETEDUL,3,2,1996-06-26,
JINDALPOLY,2,1,1996-07-10,
HINDALCO,3,2,1996-09-04,
ASIANELEC,2,1,1996-09-04,
BLOWPLAST,2,1,1996-10-03,
PAEL,3,2,1996-10-03,
PIDILITIND,2,1,1996-10-09,
RAYMOND,3,2,1996-10-09,
ADANIENT,2,1,1996-10-09,
ADORWELD,3,2,1996-10-09,
TRENT,2,1,1996-10-23,
GUJNRECOKE,21,10,1996-10-31,
EIHOTEL,3,2,1996-11-06,
IVP,3,2,1996-11-13,
PUNJABTRAC,2,1,1996-11-20,
SWARAJENG,2,1,1996-11-20,
ORIENTHOT,3,2,1996-11-21,
SHALPAINTS,8,5,1996-12-06,
WHEELS,2,1,1996-12-11,
ABB,4,3,1996-12-11,
MIRZAINT,2,1,1997-01-15,
OUDHSUG,10,1,1997-03-26,
GSKCONS,8,5,1997-06-25,
THOMASCOOK,5,3,1997-07-30,
ABIRLANUVO,3,2,1997-08-07,
INFY,2,1,1997-08-20,
CENTURYTEX,2,1,1997-09-03,
MAHSCOOTER,2,1,1997-09-10,
LAXMIMACH,2,1,1997-10-15,
WIPRO,3,1,1997-10-22,
CENTENKA,10,1,1997-10-27,
KOHINOOR,7,5,1997-10-29,
ALKYLAMINE,2,1,1997-10-29,
RELIANCE,2,1,1997-11-05,
PGHH,3,2,1997-11-19,
MOTHERSUMI,3,2,1997-11-26,
HINDSYNTEX,2,1,1997-12-24,
UPERGANGES,3,2,1997-12-29,
PAREKHPLAT,2,1,1998-06-03,
VLSFINANCE,2,1,1998-06-24,
SANGHIIND,3,1,1998-07-06,
HEROMOTOCO,2,1,1998-08-11,
JAYSREETEA,2,1,1998-08-19,
BASF,3,2,1998-09-23,
TRIGYN,2,1,1998-09-23,
MUNJALSHOW,2,1,1998-09-30,
JBCHEPHARM,2,1,1998-10-07,
BERGEPAINT,2,1,1998-10-14,
AUROPHARMA,2,1,1998-10-22,
RANBAXY,2,1,1998-11-18,
SBTINTL,2,1,1998-12-09,
INDNIPPON,13,5,1999-02-02,
INFY,2,1,1999-02-10,
PVP,2,1,1999-03-24,
SOUNDCRAFT,3,2,1999-04-21,
