 SM_NEW_SYMBOL, SM_KEY_SYMBOL, SM_APPLICABLE_FROM
ROOFITIND,RATNABLDG,1999-09-15
ALEMBICLTD,ALMBICHEM,1999-09-22
HCL-INSYS,HCL-HP,2000-04-12
CHENNPETRO,MADRASREFN,2000-08-09
NETVISTAIT,KRAFTIND,2000-08-09
WARTSILA,WARTDEISEL,2000-09-20
AMBUJARAJN,DLFCEMENT,2001-08-20
FAGBEARING,FAGPRECISN,2001-08-20
NUCENTFIN,PRESSMAN,2001-08-20
SAREGAMA,GRAMOPHONE,2001-08-20
SEAMECLTD,PEERLESHIP,2001-08-20
VATSMUSC,BABABUSERV,2001-08-20
COREEMBLG,COREBIO,2001-10-15
TVSMOTOR,TVS-SUZUKI,2001-12-03
MADURACOAT,COATVIYELA,2002-11-29
ATFL,ITCAGRO,2002-12-31
GRAPHITE,CARBEVFLOW,2003-01-13
HTMT,HINDUJAFIN,2003-01-13
PHARMACIA,ABBOTTLAB,2003-03-24
KOTAKBANK,KOTAKMAH,2003-04-21
APIL,ABBALPO,2003-05-19
PSL,PSLHOLD,2003-05-19
AVENTIS,HOECHST,2003-05-19
TATATELSER,HUGHESTELE,2003-06-25
STERLINBIO,STERLINTEA,2003-07-09
E-SERVEINT,CITICORSEC,2003-07-09
GSKCONS,SMITKLBECH,2003-07-29
IGS,MASCOT,2003-08-07
ATNINT,ARIHANTCRE,2003-09-17
TATAINFO,TATAPRESS,2003-09-17
VENKEYS,WESTHATCH,2003-09-17
JUBILANT,VAMORGANIC,2003-09-30
ASAL,JBMT,2003-10-14
TATAMOTORS,TELCO,2003-12-26
SHIVTEX,ANAMALFIN,2004-01-22
TATASPONGE,IPITATASPO,2004-02-11
ZENSARTECH,FUJITSICIM,2004-03-04
BSELINFRA,BSELINFO,2004-03-12
PAVCI,MTAL,2004-03-12
REL,BSES,2004-03-12
MICRO,HINDINKS,2004-03-26
ATCOM,ATCOIND,2004-04-29
TRENT,LAKME,2004-06-07
3MINDIA,BIRLA3M,2004-06-15
MPHASISBFL,BFLSOFTWAR,2004-06-15
PGHH,P&G,2004-07-07
DICIND,COATESIND,2004-09-06
GREAVESCOT,GREAVES,2004-09-09
JDORGO,JAYSYNTDYE,2004-09-13
OCL,ORISSACEM,2004-09-15
KINETICMOT,KINHONDA,2004-09-20
VIDEOIND,VDOLEASE,2004-09-21
ADORWELD,ADVANIORLI,2004-09-27
CAROLINFO,WOCKLIFE,2004-09-27
MORAREALTY,MORARJESPG,2004-10-15
SKFINDIA,SKFBEARING,2004-10-20
USHAMART,USHABEL,2004-10-20
AVAYAGCL,TATATELECM,2004-11-01
GREENPLY,MITTALLAMI,2004-12-09
LOTTEINDIA,PARRYSCON,2004-12-17
CRESTANI,CRESTCOMM,2005-01-04
GTL,GLOBALTELE,2005-01-14
TTML,TATATELSER,2005-01-14
ABANLOYD,ABANLLOYD,2005-01-17
JINDALSAW,SAWPIPES,2005-02-18
ATUL,ATULPROD,2005-03-10
BOC,IOL,2005-03-10
FSS,HUGHESSOFT,2005-03-17
BEPL,BHANSALENG,2005-03-21
HONAUT,TATAHONEY,2005-03-24
WINDSOR,DGPWINDSOR,2005-04-05
IGARASHI,CGIGARSH,2005-04-21
EVERESTIND,ETERNEVRST,2005-05-27
NSIL,JSTRIPS,2005-06-07
TORRENTSEC,SURATELEC,2005-06-07
MARICO,MARICOIND,2005-06-14
PREMIER,PREMAUTO,2005-06-14
LANABS,ABSIND,2005-06-14
CUMMINSIND,KIRLOSKCUM,2005-06-17
TORRENTAEC,AHMEDELEC,2005-06-17
MANINDS,MANALUMN,2005-06-24
TATAINVEST,INVESTCORP,2005-07-07
TRIGYN,LEADEDSYS,2005-07-26
AXIS-IT&T,IT&T,2005-08-16
INGVYSYABK,VYSYABANK,2005-08-16
ITDCEM,TRAFALHSE,2005-08-16
PRICOL,PREMINSTR,2005-08-16
QUINTEGRA,SOFFIASOFT,2005-08-22
RANEHOLDIN,RANEMADRAS,2005-08-22
EXIDEIND,CHLORIDIND,2005-09-12
ICIL,INDOCOUNT,2005-09-12
JSWSTEEL,JSWSTL,2005-09-16
SUNFLAG,SUNFLAGIRN,2005-09-29
TATASTEEL,TISCO,2005-10-17
SAMBHAAV,PERLENGINF,2005-10-18
MARKSANS,TASCPHARMA,2005-11-14
PAEL,PREMAUTOEL,2005-11-23
WOPOLIN,BAJAJPLAST,2005-11-23
BCCL,BIHARCAUST,2005-12-05
CENTBOP,CENBNK,2005-12-06
ABIRLANUVO,INDRAYON,2005-12-07
SIMPLEXINF,SIMPLEXCON,2005-12-21
NAGREEKA,NAGREKAEXP,2005-12-22
JBMA,JBMAUTOCOM,2006-01-04
ANSALINFRA,ANSALPROP,2006-01-27
BOSCHCHASY,KALYANBRAK,2006-02-10
KECINFRA,KECINTL,2006-02-21
GTNIND,GTNTEXT,2006-02-24
SHREYAS,SHREYASHIP,2006-04-03
GILLETTE,INDSHAVING,2006-04-04
HITACHIHOM,AMTREXAPPL,2006-04-04
HONDAPOWER,SHRMHONDA,2006-04-04
RPGCABLES,RPGTELECOM,2006-04-04
SCHENHERD,HERDILCHEM,2006-04-04
COLORCHIPS,ARHAMFISCL,2006-04-04
TATACOFFEE,CONSCOFFEE,2006-04-04
VHL,VSGML,2006-04-17
GMRINDSTRS,GMRVASAVI,2006-04-28
CHOLADBS,CHOLAINV,2006-06-01
CLNINDIA,COLORCHEM,2006-06-05
PENINLAND,MORAREALTY,2006-06-09
BHARTIARTL,BHARTI,2006-06-19
RCOM,RCVL,2006-06-30
MIRZAINT,MIRZATAN,2006-07-05
HCC,HINDCONS,2006-07-10
CAMBRIDGE,SCANDENT,2006-07-17
KANSAINER,GOODLASNER,2006-07-26
NBVENTURES,NAVBARFERO,2006-07-31
WENDT,WENDTINDIA,2006-08-07
ABAN,ABANLOYD,2006-08-18
KOHINOOR,SATNAMOVER,2006-08-18
RSWM,RAJASSPG,2006-09-01
WYETH,WYETHLEDE,2006-09-01
BHAGYNAGAR,BAGYAMETAL,2006-09-12
FMGOETZE,GOETZEIND,2006-09-12
ADANIENT,ADANIEXPO,2006-09-20
AZTECSOFT,AZTEC,2006-09-20
ELECON,ELECONENGG,2006-09-29
VTL,MAHAVIRSPG,2006-10-11
APCOTEXIND,APCOTEXLAT,2006-11-01
PRECOT,PRECOTMILL,2006-11-01
BBL,BARATBIJLE,2006-11-21
AFTEK,AFTEKINFO,2006-11-27
SIGROUPIND,SCHENHERD,2006-11-28
BLUECOAST,MOREPENHTL,2006-12-05
RPGLS,SEARLEIND,2006-12-05
RPGTLTD,SAELTD,2006-12-05
MMFL,MMFORGINGS,2006-12-20
SPENTEX,SPENTXIND,2006-12-20
BANCOINDIA,BANCOPROD,2006-12-22
MPHASIS,MPHASISBFL,2006-12-26
SHARRESLTD,SHARYANRES,2006-12-27
SATHAISPAT,SATHVANISP,2006-12-27
KESARENT,KESARENTER,2007-01-02
NILKAMAL,NILKAMPLST,2007-01-05
IGPL,IGPETRO,2007-01-29
SAGCEM,SAGARCEM,2007-01-29
SIYSIL,SIYARSILK,2007-01-29
TIMKEN,TATATIMKEN,2007-02-06
TVSSRICHAK,SRICHAKTYR,2007-02-13
ZEEL,ZEETELE,2007-02-28
